Nome,Valor
mu,3.595e-05
gamma,0.01999946019037029
alpha,0.7423065215347396
beta1,0.17306544359740167
beta2,0.15441599791199495
beta3,0.12215116895468765
i0,0.001601412000177207
s0,0.9968695635795782
sick0,0.0015290244202445563
N,31
pvoc,"[[ 2.11892368e+06  6.81862371e+07  1.01682641e+07  2.36614562e+07
  -1.06022556e+05 -2.46437376e+05]
 [ 6.81862371e+07  2.19426626e+09  3.27212478e+08  7.61444382e+08
  -3.40830243e+06 -7.93051427e+06]
 [ 1.01682641e+07  3.27212478e+08  4.87953917e+07  1.13546851e+08
  -5.08726918e+05 -1.18260579e+06]
 [ 2.36614562e+07  7.61444382e+08  1.13546851e+08  2.64233945e+08
  -1.18225751e+06 -2.75201643e+06]
 [-1.06022556e+05 -3.40830243e+06 -5.08726918e+05 -1.18225751e+06
   5.53559613e+03  1.23157324e+04]
 [-2.46437376e+05 -7.93051427e+06 -1.18260579e+06 -2.75201643e+06
   1.23157324e+04  2.86624824e+04]]"
perr,"[ 1455.6523206  46842.9958724   6985.36982964 16255.27436831
    74.40158685   169.29997748]"
MSE,7.285526654460407e-09
RMSE,8.535529658117536e-05
Mean_R,0.9923183719439599
ss_res,2.2585132628827262e-07
ss_tot,2.9401492058793934e-05
