Data,Casos,Isol,Idx,Pop
2020-04-30,18149,0.47,0,11869660
2020-05-01,19087,0.55,1,11869660
2020-05-02,19494,0.52,2,11869660
2020-05-03,19822,0.58,3,11869660
2020-05-04,20073,0.48,4,11869660
2020-05-05,21140,0.48,5,11869660
2020-05-06,23187,0.47,6,11869660
2020-05-07,24273,0.48,7,11869660
2020-05-08,25367,0.46,8,11869660
2020-05-09,26787,0.5,9,11869660
2020-05-10,27307,0.54,10,11869660
2020-05-11,27771,0.49,11,11869660
2020-05-12,28682,0.48,12,11869660
2020-05-13,30402,0.48,13,11869660
2020-05-14,31873,0.49,14,11869660
2020-05-15,33992,0.48,15,11869660
2020-05-16,35429,0.52,16,11869660
2020-05-17,35931,0.56,17,11869660
2020-05-18,36188,0.5,18,11869660
2020-05-19,37640,0.49,19,11869660
2020-05-20,39466,0.51,20,11869660
2020-05-21,41451,0.52,21,11869660
2020-05-22,42973,0.49,22,11869660
2020-05-23,44887,0.53,23,11869660
2020-05-24,45527,0.57,24,11869660
2020-05-25,46204,0.53,25,11869660
2020-05-26,47554,0.49,26,11869660
2020-05-27,49264,0.49,27,11869660
2020-05-28,52719,0.49,28,11869660
2020-05-29,55741,0.48,29,11869660
2020-05-30,58619,0.52,30,11869660
